Time,Data
0,1
0.011111,1
0.022222,1
0.033333,1
0.044444,1
0.055556,1
0.066667,1
0.077778,1
0.088889,1
0.1,1
0.11111,1
0.12222,1
0.13333,1
0.14444,1
0.15556,1
0.16667,1
0.17778,1
0.18889,1
0.2,1
0.21111,1
0.22222,1
0.23333,1
0.24444,1
0.25556,1
0.26667,1
0.27778,1
0.28889,1
0.3,1
0.31111,1
0.32222,1
0.33333,1
0.34444,1
0.35556,1
0.36667,1
0.37778,1
0.38889,1
0.4,1
0.41111,1
0.42222,1
0.43333,1
0.44444,1
0.45556,1
0.46667,1
0.47778,1
0.48889,1
0.5,1
0.51111,1
0.52222,1
0.53333,1
0.54444,1
0.55556,1
0.56667,1
0.57778,1
0.58889,1
0.6,1
0.61111,1
0.62222,1
0.63333,1
0.64444,1
0.65556,1
0.66667,1
0.67778,1
0.68889,1
0.7,1
0.71111,1
0.72222,1
0.73333,0
0.74444,0
0.75556,0
0.76667,0
0.77778,0
0.78889,0
0.8,0
0.81111,0
0.82222,0
0.83333,0
0.84444,0
0.85556,0
0.86667,0
0.87778,0
0.88889,0
0.9,0
0.91111,0
0.92222,0
0.93333,0
0.94444,0
0.95556,0
0.96667,0
0.97778,0
0.98889,0
1,0
1.0111,0
1.0222,0
1.0333,0
1.0444,0
1.0556,0
1.0667,0
1.0778,0
1.0889,0
1.1,0
1.1111,0
1.1222,0
1.1333,0
1.1444,0
1.1556,0
1.1667,0
1.1778,0
1.1889,0
1.2,0
1.2111,0
1.2222,0
1.2333,0
1.2444,0
1.2556,0
1.2667,0
1.2778,0
1.2889,0
1.3,0
1.3111,0
1.3222,0
1.3333,0
1.3444,0
1.3556,0
1.3667,0
1.3778,0
1.3889,0
1.4,0
1.4111,0
1.4222,0
1.4333,0
1.4444,0
1.4556,0
1.4667,0
1.4778,0
1.4889,0
1.5,0
1.5111,0
1.5222,0
1.5333,0
1.5444,0
1.5556,0
1.5667,0
1.5778,0
1.5889,0
1.6,0
1.6111,0
1.6222,0
1.6333,0
1.6444,0
1.6556,0
